,Hit Points,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary,Winner
0,-20,-6,10,-15,10,-19,0,1
1,0,-39,-18,18,39,0,0,1
2,-20,-35,10,-45,10,0,0,1
3,-37,-80,-50,10,-50,-28,0,1
4,50,50,-105,105,-160,50,0,0
5,-10,-3,-100,7,-100,5,0,0
6,-25,0,10,-45,-50,-25,0,1
7,-80,-20,-70,-65,-85,-55,-1,1
8,0,12,28,-23,-28,-29,0,1
9,5,-25,-10,5,-20,-5,0,1
10,10,10,-25,-40,-25,-25,0,1
11,53,99,5,17,25,78,1,0
12,-50,-90,-35,-60,-65,-30,0,1
13,-25,-15,15,15,-10,25,0,0
14,30,70,100,1,70,5,0,0
15,-27,-32,11,3,12,-21,0,1
16,40,0,5,-30,-5,-55,-1,1
17,-55,-60,-20,-20,15,0,0,1
18,20,95,-62,90,-80,62,0,0
19,-21,45,0,1,-25,41,0,0
20,-1,-59,-32,21,6,-20,0,1
21,26,-8,-15,-35,-30,0,0,1
22,-5,-15,-40,-80,-5,-40,0,1
23,35,10,20,-100,-60,20,0,0
24,-10,-40,-10,-5,-10,-73,0,1
25,6,-60,10,-30,54,20,0,0
26,-25,-31,15,14,-5,-44,0,1
27,-4,-11,26,8,0,-26,0,1
28,-5,-20,16,-55,-9,40,0,0
29,-16,61,36,-35,-33,5,0,0
30,-3,65,-40,-35,-50,-42,0,1
31,-5,-50,-10,5,60,-40,0,1
32,-10,-15,-25,35,5,-100,0,1
33,5,25,47,65,32,36,0,0
34,-30,-50,-63,0,-25,38,0,1
35,11,-81,-82,-3,-38,-32,0,1
36,12,45,29,5,29,-12,0,1
37,-22,-20,20,-75,-30,2,0,0
38,33,-30,16,20,51,-45,0,1
39,10,-10,4,-30,4,-23,0,1
40,15,-10,15,-29,-5,-22,0,1
41,44,-11,15,12,35,12,0,0
42,-25,-43,-2,-55,-15,-50,0,0
43,-34,-11,-53,-41,-71,-20,0,1
44,4,-10,-10,5,-20,-29,0,1
45,-35,6,-26,-31,-14,40,0,0
46,-6,14,11,-9,34,-26,0,1
47,-20,64,85,30,60,36,0,0
48,-110,-55,170,-100,135,-60,0,1
49,-31,-10,-40,-67,-30,-68,0,1
50,-15,-33,81,-28,33,-53,0,1
51,46,40,50,4,50,70,1,1
52,-1,78,68,1,1,61,1,0
53,2,-40,-33,35,5,27,0,0
54,-30,25,-10,-60,-40,-20,0,1
55,-12,-36,-27,-20,-25,-6,0,1
56,20,5,-37,-35,-37,-16,0,1
57,-21,-95,-10,-13,-20,-38,0,1
58,7,18,-43,-14,25,17,0,0
59,-21,-10,-3,3,-12,23,0,0
60,-3,-52,2,-12,72,2,0,0
61,-13,29,-15,39,-40,5,0,0
62,49,79,30,7,20,7,0,0
63,-21,-2,12,-30,-6,27,0,0
64,-32,20,-15,-25,-15,16,0,0
65,7,-27,-31,38,35,53,0,0
66,50,100,55,75,30,45,0,0
67,-15,-30,5,-5,-30,15,0,0
68,-11,-47,10,11,10,-28,-1,1
69,-9,-70,-16,15,-73,-21,0,1
70,-58,-74,152,-99,145,-95,0,1
71,-9,-16,-23,54,19,70,0,0
72,-26,-10,16,-86,11,-80,0,1
73,-11,13,-45,13,-45,-7,0,1
74,44,68,23,35,15,10,1,0
75,-90,30,34,5,34,10,0,0
76,-50,-15,-10,-25,-35,-40,0,1
77,-5,25,-53,3,-50,35,1,0
78,-54,-26,12,-1,12,37,0,0
79,25,45,10,-50,-30,-10,-1,1
80,0,-50,-13,-65,-3,-85,0,1
81,0,-17,15,1,-5,-22,0,1
82,20,7,12,48,8,-10,0,1
83,-5,-35,-57,-40,-57,-41,0,1
84,-50,-52,-32,-35,-15,-21,0,1
85,8,-21,-67,-5,-50,60,0,1
86,-25,-27,-35,-78,-10,-5,-1,1
87,-30,-78,-13,-38,57,-51,0,1
88,105,20,-35,55,-35,45,1,0
89,-3,-41,16,24,36,-32,0,1
90,-50,20,-40,-20,-90,-5,0,1
91,-16,-50,-10,-18,2,-5,0,1
92,-8,-11,44,56,21,-66,0,1
93,8,30,12,33,24,25,0,0
94,-65,-35,-15,0,-60,-50,-1,1
95,-47,-71,-46,-14,-46,-47,-1,1
96,-25,15,25,-30,-55,-45,-1,1
97,-31,-45,-36,-12,-36,-31,0,1
98,-10,25,-25,25,-40,15,0,0
99,-5,10,20,57,40,83,0,0
100,-20,-23,10,-23,-20,16,0,0
101,-12,-14,8,-14,11,-55,0,1
102,5,-53,5,12,5,55,0,0
103,-37,-44,-33,-27,-31,-24,0,1
104,-15,-50,-55,-25,-15,0,0,1
105,50,65,-4,-35,11,70,0,0
106,-35,-50,-25,25,-55,40,0,0
107,-30,-45,-10,15,-5,5,0,0
108,-21,12,-17,-35,-10,10,0,0
109,-24,-29,-5,36,33,-1,1,1
110,10,-14,-40,11,-35,9,0,0
111,-17,-20,-25,5,-35,2,0,0
112,30,10,30,-10,-5,-50,0,1
113,25,65,10,30,40,65,0,0
114,21,35,60,95,40,19,1,0
115,65,45,-11,5,55,26,0,0
116,10,-65,-3,5,-55,-42,0,1
117,5,-43,12,-9,17,-47,0,1
118,14,-5,155,5,15,-130,0,1
119,-20,10,0,-60,-20,-30,0,1
120,15,23,-12,20,0,19,0,0
121,30,40,75,-15,-50,-70,0,0
122,-10,10,15,75,10,60,0,0
123,10,20,45,-65,-30,5,0,0
124,-30,30,0,-55,0,11,0,0
125,-56,0,20,-10,15,11,0,0
126,-35,20,-35,-35,-35,-70,0,1
127,-10,-60,20,30,-10,-40,0,1
128,25,10,-15,70,50,20,0,0
129,-32,-29,3,10,10,25,0,0
130,6,0,23,3,-5,5,0,0
131,3,44,23,60,20,5,0,0
132,-25,-20,-10,-10,-20,-70,0,1
133,-15,-7,-63,-57,-73,40,0,1
134,5,45,50,35,45,10,0,0
135,-36,-30,-20,-5,-79,-50,-1,1
136,25,30,10,15,0,55,0,0
137,17,-5,13,8,9,-3,0,1
138,12,80,20,-20,-50,-22,0,1
139,10,35,72,55,37,31,0,0
140,33,-7,25,-17,25,-64,0,1
141,10,74,55,39,10,7,0,0
142,-45,0,-20,-28,0,50,0,1
143,-5,-35,-70,-45,-15,-15,0,1
144,-20,15,-14,52,-35,29,0,0
145,77,0,72,25,70,47,0,0
146,-75,25,-70,-35,-80,-10,0,1
147,-23,-10,-5,-125,-105,-50,0,1
148,-30,22,50,-5,15,25,0,0
149,-32,-69,-45,30,15,19,0,0
150,5,20,50,85,0,-35,0,0
151,0,-35,-5,-50,-25,-65,0,1
152,3,4,18,44,-5,-2,0,1
153,0,-5,-20,10,0,-70,0,1
154,5,43,47,78,77,57,0,0
155,-5,40,5,40,-10,10,0,0
156,-15,-47,-13,-12,22,-3,0,1
157,-11,-41,35,-119,-35,-84,-1,1
158,0,0,20,50,45,5,0,1
159,-26,-98,-35,-93,-65,-70,0,1
160,21,4,-30,16,-15,9,0,0
161,45,20,-22,55,40,25,0,0
162,44,15,30,15,50,-110,0,0
163,0,-30,20,20,120,-30,1,1
164,-27,3,-23,-34,-29,29,0,0
165,-10,-50,-20,35,-10,-30,0,1
166,20,36,-30,-9,-20,94,0,0
167,-10,-40,-61,-42,-38,-20,0,1
168,20,20,36,40,26,0,1,1
169,100,36,70,55,70,49,1,0
170,30,35,10,-50,10,-75,0,1
171,7,30,13,-45,30,0,0,1
172,-35,-110,-30,-110,-30,-45,-1,1
173,12,18,-5,26,15,19,0,0
174,55,-5,-40,-90,-25,-105,-1,0
175,10,34,20,-30,15,-29,-1,1
176,15,-30,-21,35,9,35,0,0
177,15,24,46,91,34,40,1,0
178,5,-70,-72,-38,-25,-44,0,1
179,-18,9,-1,-14,51,-86,0,1
180,-70,-50,-40,-45,0,5,0,0
181,5,40,26,10,36,8,0,0
182,-38,-68,-28,-25,-30,-46,0,1
183,-15,30,-15,-25,5,-5,0,1
184,-5,19,-5,-8,-35,1,0,0
185,28,19,-1,50,26,23,0,0
186,34,80,10,25,40,45,0,0
187,35,100,80,-5,-55,-5,0,1
188,20,40,-2,-55,-67,-66,0,0
189,32,2,12,-4,-22,-77,0,1
190,-9,6,32,-55,-35,-58,0,1
191,6,-12,18,45,19,19,0,0
192,47,99,67,59,44,50,1,0
193,-85,-10,-55,-39,-59,10,-1,1
194,33,-20,-75,-30,-80,51,-1,0
195,-10,20,-5,-60,-40,-70,0,1
196,-7,-30,5,60,55,-35,0,1
197,5,-25,5,20,10,50,1,0
198,11,-45,-90,45,26,55,0,1
199,17,69,12,-16,29,85,0,0
200,-38,-56,-35,-23,-12,-54,-1,1
201,10,-20,-13,-100,25,-27,0,1
202,11,22,-5,-33,-10,4,0,0
203,30,10,-20,-30,5,-35,0,1
204,-80,-115,25,-35,-20,-70,-1,1
205,56,52,60,60,-14,7,0,0
206,25,66,35,-9,-15,-11,0,1
207,-27,-50,8,-45,20,-57,0,1
208,-10,-50,5,25,15,-10,0,1
209,12,-37,0,43,0,67,0,0
210,4,-45,35,-45,35,-4,1,1
211,41,39,36,39,36,43,0,0
212,23,8,43,91,39,15,0,0
213,-15,-35,-45,-150,-75,-85,0,1
214,36,-39,-13,6,42,-32,0,1
215,10,-10,10,55,55,35,0,0
216,10,40,45,5,15,25,0,0
217,16,55,23,30,-23,-12,0,1
218,21,111,65,5,55,40,0,1
219,20,15,-49,60,-29,18,0,0
220,-35,-35,-35,-50,-25,-75,-1,1
221,-20,-75,-57,-15,-32,-23,0,1
222,-15,-32,-13,-4,9,10,0,0
223,40,-13,-25,55,30,48,0,0
224,-70,-78,-30,-60,-25,25,0,1
225,-60,12,0,-13,-35,43,0,0
226,-20,-2,85,32,40,7,0,0
227,35,35,95,14,44,25,0,0
228,-24,51,51,41,44,19,1,0
229,-54,-28,-23,-32,-12,-1,0,1
230,33,-45,21,30,86,30,0,0
231,5,-3,-25,72,25,5,0,0
232,-15,-70,-70,35,-15,0,-1,1
233,10,-7,-88,78,-18,75,0,0
